,categorical_accuracy,descriptor_size,epochs,filename,filter_count,filter_height,filter_width,height,loss,mini_batch,regularization,top5_categorical_accuracy,width
0,0.617792422139075,512,150,cnn_w128_h128_512_descr_32_x_3_3_filt_128_batch_None_reg_150_epochs.h5,32,3,3,128,1.864186542234468,128,None,0.8533772687739163,128
0,0.5897858322550477,512,250,cnn_w64_h64_512_descr_32_x_3_3_filt_128_batch_None_reg_250_epochs.h5,32,3,3,64,2.355981157874747,128,None,0.8418451410149035,64
0,0.5749588125620092,512,150,cnn_w64_h64_512_descr_32_x_5_5_filt_128_batch_None_reg_150_epochs.h5,32,5,5,64,1.7708703108635138,128,None,0.8336079087249529,64
0,0.5700164723042798,512,150,cnn_w64_h64_512_descr_32_x_3_3_filt_128_batch_None_reg_150_epochs.h5,32,3,3,64,2.2939317018235537,128,None,0.8171334459125701,64
0,0.5667215806648406,1024,150,cnn_w64_h64_1024_descr_32_x_3_3_filt_32_batch_None_reg_150_epochs.h5,32,3,3,64,1.7108448635805182,32,None,0.8401976922984178,64
0,0.5617792383450063,256,150,cnn_w64_h64_256_descr_32_x_3_3_filt_128_batch_None_reg_150_epochs.h5,32,3,3,64,1.9921311966866206,128,None,0.8121911039855177,64
0,0.5568369023096816,512,120,cnn_w64_h64_512_descr_32_x_3_3_filt_128_batch_None_reg_120_epochs.h5,32,3,3,64,2.006156639369355,128,None,0.8385502480989233,64
0,0.5518945663725524,1024,150,cnn_w64_h64_1024_descr_32_x_3_3_filt_128_batch_None_reg_150_epochs.h5,32,3,3,64,2.3797069188986812,128,None,0.8171334408064062,64
0,0.5485996674666491,256,150,cnn_w64_h64_256_descr_32_x_5_5_filt_128_batch_None_reg_150_epochs.h5,32,5,5,64,1.7962259464640986,128,None,0.8056013180553618,64
0,0.5403624369442168,1024,150,cnn_w64_h64_1024_descr_16_x_5_5_filt_128_batch_None_reg_150_epochs.h5,16,5,5,64,1.9129949193417142,128,None,0.8286655667979006,64
0,0.530477757312517,512,150,cnn_w64_h64_512_descr_16_x_3_3_filt_128_batch_None_reg_150_epochs.h5,16,3,3,64,2.186634549591844,128,None,0.7957166385218575,64
0,0.5222405309142941,1024,150,cnn_w64_h64_1024_descr_16_x_3_3_filt_128_batch_None_reg_150_epochs.h5,16,3,3,64,2.4546134000555098,128,None,0.7726523906630779,64
0,0.5189456334322249,256,150,cnn_w64_h64_256_descr_16_x_5_5_filt_128_batch_None_reg_150_epochs.h5,16,5,5,64,1.8573941041453077,128,None,0.7940691929476265,64
0,0.5024711697360829,512,150,cnn_w64_h64_512_descr_16_x_5_5_filt_128_batch_None_reg_150_epochs.h5,16,5,5,64,2.018898084489675,128,None,0.799011530652274,64
0,0.5024711692942033,256,150,cnn_w64_h64_256_descr_16_x_3_3_filt_128_batch_None_reg_150_epochs.h5,16,3,3,64,1.9589393441327518,128,None,0.8006589796633461,64
0,0.49917627716378676,512,120,cnn_w64_h64_512_descr_16_x_3_3_filt_128_batch_None_reg_120_epochs.h5,16,3,3,64,1.9981255264219382,128,None,0.7528830314978736,64
0,0.40362438235487147,512,120,cnn_w64_h64_512_descr_32_x_5_5_filt_128_batch_None_reg_120_epochs.h5,32,5,5,64,2.203768499600632,128,None,0.7199341024362668,64
0,0.02141680423618345,256,150,cnn_w64_h64_256_descr_16_x_5_5_filt_128_batch_L1(0.01)_reg_150_epochs.h5,16,5,5,64,4.2126764858377825,128,L1(0.01),0.10378912653424202,64
0,0.02141680423618345,256,150,cnn_w64_h64_256_descr_32_x_3_3_filt_128_batch_L2(0.01)_reg_150_epochs.h5,32,3,3,64,3.911940140229277,128,L2(0.01),0.10543657293085996,64
0,0.02141680423618345,256,150,cnn_w64_h64_256_descr_32_x_3_3_filt_128_batch_L1(0.01)_reg_150_epochs.h5,32,3,3,64,4.826155775657792,128,L1(0.01),0.10378912587142265,64
